schema_version,M,K,N,array_n,buffer_kb,data_bytes,clock_hz,schedule,arbiter,dma,dma_outstanding,queue_depth,noc_latency,hbm_bw_GBps,hbm_lat_cyc,interconnect_bw_GBps,buf_bw_Bpc,time_resolution_s,sim_ticks,sim_s,requests,ic_requests,bytes,passes,macs,useful_ops,executed_ops,useful_ops_s,executed_ops_s,useful_ai,executed_ai,avg_queue_ns,queue_full,stall_ns,grants,case_id,group
1,128,128,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,64,64,1e-12,55961000,5.5961e-05,1088,1088,278528,512,2097152,4194304,4194304,74950483372.3486,74950483372.3486,15.058823529411764,15.058823529411764,1.8823529411764706,0,0,[1088],e2_64,E2
1,128,128,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,128,64,1e-12,55961000,5.5961e-05,1088,1088,278528,512,2097152,4194304,4194304,74950483372.3486,74950483372.3486,15.058823529411764,15.058823529411764,0.9411764705882353,0,0,[1088],e2_128,E2
1,128,128,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,55961000,5.5961e-05,1088,1088,278528,512,2097152,4194304,4194304,74950483372.3486,74950483372.3486,15.058823529411764,15.058823529411764,0.47058823529411764,0,0,[1088],e2_256,E2
1,32,32,32,8,256,1,1000000000,double,fifo,1,4,16,0,256,100,32,64,1e-12,6733250,6.73325e-06,144,144,9216,64,32768,65536,65536,9733189767.200089,9733189767.200089,7.111111111111111,7.111111111111111,0.8888888888888888,0,0,[144],e3_32_8_32,E3
1,32,32,32,8,256,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,6669250,6.6692500000000006e-06,144,144,9216,64,32768,65536,65536,9826592195.524233,9826592195.524233,7.111111111111111,7.111111111111111,0.1111111111111111,0,0,[144],e3_32_8_256,E3
1,32,32,32,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,32,64,1e-12,1057000,1.057e-06,20,20,5120,8,32768,65536,65536,62001892147.58751,62001892147.58751,12.8,12.8,3.2,0,0,[20],e3_32_16_32,E3
1,32,32,32,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,1025000,1.0250000000000001e-06,20,20,5120,8,32768,65536,65536,63937560975.60975,63937560975.60975,12.8,12.8,0.4,0,0,[20],e3_32_16_256,E3
1,32,32,32,32,256,1,1000000000,double,fifo,1,4,16,0,256,100,32,64,1e-12,368000,3.68e-07,3,3,3072,1,32768,65536,65536,178086956521.73914,178086956521.73914,21.333333333333332,21.333333333333332,10.666666666666666,0,0,[3],e3_32_32_32,E3
1,32,32,32,32,256,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,352000,3.5200000000000003e-07,3,3,3072,1,32768,65536,65536,186181818181.81818,186181818181.81818,21.333333333333332,21.333333333333332,1.3333333333333333,0,0,[3],e3_32_32_256,E3
1,128,128,128,8,256,1,1000000000,double,fifo,1,4,16,0,256,100,32,64,1e-12,423037250,0.00042303725000000005,8448,8448,540672,4096,2097152,4194304,4194304,9914739186.679186,9914739186.679186,7.757575757575758,7.757575757575758,0.9696969696969697,0,0,[8448],e3_128_8_32,E3
1,128,128,128,8,256,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,418941250,0.00041894125,8448,8448,540672,4096,2097152,4194304,4194304,10011675861.472223,10011675861.472223,7.757575757575758,7.757575757575758,0.12121212121212122,0,0,[8448],e3_128_8_256,E3
1,128,128,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,32,64,1e-12,58009000,5.8009000000000007e-05,1088,1088,278528,512,2097152,4194304,4194304,72304366563.80905,72304366563.80905,15.058823529411764,15.058823529411764,3.764705882352941,0,0,[1088],e3_128_16_32,E3
1,128,128,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,55961000,5.5961e-05,1088,1088,278528,512,2097152,4194304,4194304,74950483372.3486,74950483372.3486,15.058823529411764,15.058823529411764,0.47058823529411764,0,0,[1088],e3_128_16_256,E3
1,128,128,128,32,256,1,1000000000,double,fifo,1,4,16,0,256,100,32,64,1e-12,10064000,1.0064e-05,144,144,147456,64,2097152,4194304,4194304,416763116057.2337,416763116057.2337,28.444444444444443,28.444444444444443,14.222222222222221,0,0,[144],e3_128_32_32,E3
